Mese di Reporting;Mese di vendita;Piattaforma;Paese / Regione;Nome dell'etichetta;Nome dell'artista;Titolo dell'uscita;Titolo della traccia;UPC;ISRC;Riferimento catalogo uscita;Tipo di sottoscrizione in streaming;Tipo di uscita;Tipo di vendita;Quantita;Valuta di pagamento del cliente;Prezzo unitario;Tariffa di riproduzione meccanica;Profitto lordo;Tasso di profitto del cliente;Guadagno netto
"2022/02/01";"2022/01/01";"Spotify";"Mexico";"Component";"Fehzan";"Bad Boy";"Jah Isis";"3614596243344";"FR-2X4-15-68112";"CRALBUM0001";"Premium";"Music Release";"Stream";4;"EUR";0,000969000000;0,000000;0,003876000000;"0,60000000";0,002325600000
"2022/01/01";"2022/01/01";"Apple Music";"Mexico";"Component";"Fehzan";"Bad Boy";"Jah Isis";"3614596243344";"FR-2X4-15-68112";"CRALBUM0001";"Premium";"Music Release";"Stream";1;"EUR";0,001855140934;0,000000;0,001855140934;"0,60000000";0,001113084560
"2022/01/01";"2021/06/01";"Ultimate Music";"China mainland";"Component";"Fehzan";"Bad Boy";"Jah Isis";"3614596243344";"FR-2X4-15-68112";"CRALBUM0001";"Freemium";"Music Release";"Stream";1;"EUR";0,000030395522;0,000000;0,000030395522;"0,60000000";0,000018237313
"2022/01/01";"2021/05/01";"Ultimate Music";"China mainland";"Component";"Fehzan";"Bad Boy";"Jah Isis";"3614596243344";"FR-2X4-15-68112";"CRALBUM0001";"Freemium";"Music Release";"Stream";2;"EUR";0,000047901525;0,000000;0,000095803049;"0,60000000";0,000057481829
"2022/01/01";"2021/06/01";"Yandex";"Russian federation";"Component";"Fehzan";"Bad Boy";"Jah Isis";"3614596243344";"FR-2X4-15-68112";"CRALBUM0001";"Trial";"Music Release";"Stream";1;"EUR";0,002999918000;0,000000;0,002999918000;"0,60000000";0,001799950800
"2022/02/01";"2021/12/01";"Tencent Kuwo";"China mainland";"Component";"Fehzan";"Bad Boy";"Heart of a Lion";"3614596243344";"FR-2X4-15-68108";"CRALBUM0001";"Freemium";"Music Release";"Stream";1;"EUR";0,000056188095;0,000000;0,000056188095;"0,60000000";0,000033712857
"2022/01/01";"2021/12/01";"Spotify";"Sweden";"Component";"Fehzan";"Bad Boy";"Heart of a Lion";"3614596243344";"FR-2X4-15-68108";"CRALBUM0001";"Premium";"Music Release";"Stream";1;"EUR";0,005733000000;0,000000;0,005733000000;"0,60000000";0,003439800000
"2022/01/01";"2021/10/01";"JioSaavn";"India";"Component";"Fehzan";"Bad Boy";"Heart of a Lion";"3614596243344";"FR-2X4-15-68108";"CRALBUM0001";"Ad supported";"Music Release";"Stream";2;"EUR";0,000707877221;0,000000;0,001415754441;"0,60000000";0,000849452665
"2022/01/01";"2021/06/01";"Yandex";"Russian federation";"Component";"Fehzan";"Bad Boy";"Heart of a Lion";"3614596243344";"FR-2X4-15-68108";"CRALBUM0001";"Trial";"Music Release";"Stream";1;"EUR";0,001478461000;0,000000;0,001478461000;"0,60000000";0,000887076600
"2022/01/01";"2021/05/01";"Ultimate Music";"China mainland";"Component";"Fehzan";"Bad Boy";"Heart of a Lion";"3614596243344";"FR-2X4-15-68108";"CRALBUM0001";"Freemium";"Music Release";"Stream";2;"EUR";0,000047901525;0,000000;0,000095803049;"0,60000000";0,000057481829
"2022/02/01";"2022/01/01";"Spotify";"Mexico";"Component";"Fehzan";"Bad Boy";"Heart of a Lion";"3614596243344";"FR-2X4-15-68108";"CRALBUM0001";"Premium";"Music Release";"Stream";1;"EUR";0,000969000000;0,000000;0,000969000000;"0,60000000";0,000581400000
